,BLEU,chrF,TER,BERTScore,WER,CER,ROUGE-1,ROUGE-2,ROUGE-L
gemma2-9b-it (Google) - Prompt 1,0.08462945798469686,16.523331792080135,4481.118881118881,0.26024356484413147,tensor(44.8112),tensor(7.9559),0.07603139713333094,0.06135568432438793,0.07603139713333094
gemma-7b-it (Google) - Prompt 1,3.797948224539874,30.788031816157215,137.06293706293707,0.556932270526886,tensor(1.3706),tensor(0.6230),0.27527272727272734,0.14230158730158732,0.27055050505050515
llama3-groq-70b-8192-tool-use-preview (Groq) - Prompt 1,3.154887650077496,35.414818635441506,142.65734265734267,0.5861903429031372,tensor(1.4266),tensor(0.6814),0.25389177489177495,0.13934920634920633,0.2469473304473305
llama3-groq-8b-8192-tool-use-preview (Groq) - Prompt 1,0.2096471880425377,12.847630677029365,1037.7622377622379,0.016139764338731766,tensor(10.3776),tensor(1.8978),0.15130400003780228,0.0704585137085137,0.1509591724515954
llama-3.1-70b-versatile (Meta) - Prompt 1,0.2357223460521057,33.894950015257564,625.8741258741259,0.5782766938209534,tensor(6.2587),tensor(1.4180),0.29049537037037043,0.1814285714285714,0.28799537037037043
llama-3.1-8b-instant (Meta) - Prompt 1,0.1481713686399788,19.46343823210182,3096.5034965034965,0.2828737199306488,tensor(30.9650),tensor(5.6767),0.09364659879129675,0.04514063646670263,0.09364659879129675
mixtral-8x7b-32768 (Mistral) - Prompt 1,0.05516068188121706,11.434601658794847,3350.349650349651,0.2877052426338196,tensor(33.5035),tensor(9.2129),0.0828469190793541,0.040106313117966835,0.08062469685713189
llama-3.2-90b-vision-preview (Meta) - Prompt 1,0.3832828785664453,34.78705961501353,593.006993006993,0.5831241011619568,tensor(5.9301),tensor(1.3076),0.29928746060141415,0.1780952380952381,0.29678746060141414
