,BLEU,chrF,TER,BERTScore,WER,CER,ROUGE-1,ROUGE-2,ROUGE-L
gemma2-9b-it (Google),25.84487885652467,60.49946417098732,84.54003407155025,0.575157642364502,0.8888415694236755,0.6452074646949768,0.578235098895221,0.351093733612899,0.5286012822232774
gemma-7b-it (Google),26.633596446947088,55.57021648482306,62.180579216354346,0.6359155774116516,0.6665247082710266,0.5007153153419495,0.6025934096140123,0.3311480587702585,0.5428764600726536
llama3-groq-70b-8192-tool-use-preview (Groq),32.678477137188736,61.53916374004885,57.921635434412266,0.7212796807289124,0.6192504167556763,0.4585462212562561,0.6738201643410199,0.4221418198275628,0.6218118606927285
llama3-groq-8b-8192-tool-use-preview (Groq),27.170321492016754,57.934881615444176,64.52299829642249,0.6134961843490601,0.686541736125946,0.5167245864868164,0.6189288283520546,0.34858947371846377,0.5538430935074418
llama-3.1-70b-versatile (Meta),35.509324458916275,63.00178395614571,52.640545144804086,0.739938497543335,0.5741056203842163,0.4200558662414551,0.6936715976093437,0.4331513636016207,0.6391935532536059
llama-3.1-8b-instant (Meta),26.027672428265028,59.004868360828496,80.70698466780239,0.625461757183075,0.8522146344184875,0.6875127553939819,0.6210460585084224,0.3819325211859659,0.5651189154838087
mixtral-8x7b-32768 (Mistral),25.53603767191349,58.038245458298576,75.04258943781942,0.6525036096572876,0.79514479637146,0.6174126267433167,0.6266526951309556,0.38912851971231005,0.5721925136761784
llama-3.2-90b-vision-preview (Meta),35.28534582366624,62.8778825568512,53.53492333901193,0.7308317422866821,0.5821976065635681,0.4260508120059967,0.6940297137594567,0.4365610393859758,0.6411359733991752
