cs-en,,,,,,,,,
,BLEU,chrF,TER,BERTScore,WER,CER,ROUGE-1,ROUGE-2,ROUGE-L
llama3-groq-70b-8192-tool-use-preview (Groq),23.24912853,58.11123776,78.69147659,0.614186227,0.852340937,0.657108247,0.657401083,0.392837404,0.571113547
llama3-groq-8b-8192-tool-use-preview (Groq),14.33472625,49.71744852,111.1044418,0.323033601,1.172869205,0.873586416,0.489624127,0.253821364,0.403163836
llama-3.1-70b-versatile (Meta),31.6844123,64.16447645,53.66146459,0.709518731,0.613445401,0.425888538,0.722256204,0.45896159,0.646020463
llama-3.1-8b-instant (Meta),5.451317917,32.36334565,470.8283313,0.479418486,4.79351759,4.830472469,0.528922412,0.311221556,0.451098767
mixtral-8x7b-32768 (Mistral),8.896235924,36.50179072,120.4081633,0.353173137,1.246698737,1.021001577,0.407134248,0.15750341,0.338628903
llama-3.2-90b-vision-preview (Meta),31.45927162,63.96584421,54.56182473,0.701638997,0.626050413,0.431946695,0.724468615,0.462178585,0.646923231
kk-en,,,,,,,,,
,BLEU,chrF,TER,BERTScore,WER,CER,ROUGE-1,ROUGE-2,ROUGE-L
gemma2-9b-it (Google),6.587694254,40.25220399,210.8219178,0.228518784,2.146118641,1.859550953,0.360247651,0.165008416,0.300971549
gemma-7b-it (Google),4.424954074,33.97244725,114.2526608,0.313673943,1.16797781,0.92308265,0.305714536,0.080051124,0.237421977
llama3-groq-70b-8192-tool-use-preview (Groq),14.44087326,46.32553445,96.89497717,0.511445642,1.007762551,0.776959896,0.480606457,0.226683416,0.405664198
llama3-groq-8b-8192-tool-use-preview (Groq),7.979313646,41.17672264,113.1050228,0.33359912,1.166666627,0.871475875,0.39464613,0.143958703,0.323338016
llama-3.1-70b-versatile (Meta),18.91624929,49.21207842,77.12328767,0.592416406,0.812328756,0.590651453,0.526302381,0.264062038,0.457363289
llama-3.1-8b-instant (Meta),3.652377751,32.45430304,379.7716895,0.327535659,3.843379021,3.042694092,0.36520715,0.155283764,0.30003984
mixtral-8x7b-32768 (Mistral),2.681020811,28.98425328,155.7534247,0.1943198,1.5803653,1.288774371,0.255703233,0.067311939,0.209717538
llama-3.2-90b-vision-preview (Meta),19.55400601,49.41385173,76.11872146,0.592696428,0.800913215,0.585130632,0.530401845,0.266398182,0.460291607
lt-en,,,,,,,,,
,BLEU,chrF,TER,BERTScore,WER,CER,ROUGE-1,ROUGE-2,ROUGE-L
gemma2-9b-it (Google),14.82278645,50.94967791,115.1439921,0.454085499,1.204568028,0.92397809,0.471669329,0.249592221,0.402728011
gemma-7b-it (Google),11.17808944,41.73785556,84.85600794,0.439004511,0.886295915,0.675645649,0.42454417,0.172895078,0.36798963
llama3-groq-70b-8192-tool-use-preview (Groq),19.42722431,51.20474864,75.07447865,0.595133483,0.798907638,0.620403647,0.572265647,0.299752085,0.488910524
llama3-groq-8b-8192-tool-use-preview (Groq),12.99216142,46.66351426,93.79344588,0.43197155,0.98113209,0.777236164,0.486329887,0.225378993,0.404182735
llama-3.1-70b-versatile (Meta),24.55724025,54.87718317,66.23634558,0.641873837,0.706057608,0.530100882,0.611242797,0.344790138,0.526827629
llama-3.1-8b-instant (Meta),13.08697628,47.89544456,104.4190665,0.495112926,1.096822262,0.914742589,0.51793487,0.250117014,0.437559459
mixtral-8x7b-32768 (Mistral),9.102110465,41.59893854,140.4170804,0.414030313,1.441410184,1.237643242,0.417766017,0.18730201,0.347941979
