,BLEU,chrF,TER,BERTScore,WER,CER,ROUGE-1,ROUGE-2,ROUGE-L
gemma2-9b-it (Google) - Prompt 1,5.063897371682529,36.04383990215238,295.0608446671439,0.2029246836900711,tensor(2.9707),tensor(2.5424),0.3217954355762637,0.1627826367107991,0.28792483220122816
gemma-7b-it (Google) - Prompt 1,12.371117391993527,40.54894676546435,83.03507516105941,0.30841362476348877,tensor(0.8518),tensor(0.6156),0.4208939740557384,0.1785906755518499,0.36813670135292076
llama3-groq-70b-8192-tool-use-preview (Groq) - Prompt 1,18.946919046847817,49.06447614999841,74.4452397995705,0.4584103524684906,tensor(0.7609),tensor(0.5416),0.5493429103111268,0.3030445218625157,0.49571930913866813
llama3-groq-8b-8192-tool-use-preview (Groq) - Prompt 1,11.870979817447424,37.14521902457156,94.13027916964924,0.14885731041431427,tensor(0.9599),tensor(0.6746),0.3477877241289153,0.17247856241696283,0.3118084410083442
llama-3.1-70b-versatile (Meta) - Prompt 1,22.388743221308847,52.57566131628848,75.73371510379384,0.4934483468532562,tensor(0.7802),tensor(0.5648),0.5834058083263344,0.3435343954465143,0.5232664034745744
llama-3.1-8b-instant (Meta) - Prompt 1,5.945519212776846,37.60986542815086,258.41088045812455,0.19481609761714935,tensor(2.6013),tensor(2.3923),0.3099625133872959,0.14794686395859377,0.26508183352297615
mixtral-8x7b-32768 (Mistral) - Prompt 1,5.940455021764413,36.96181404929271,232.0687186828919,0.2624029517173767,tensor(2.3493),tensor(2.0007),0.3468191637625746,0.17337601524210325,0.30710733954948216
llama-3.2-90b-vision-preview (Meta) - Prompt 1,21.895092354520347,52.22212847418596,75.44738725841088,0.4917711019515991,tensor(0.7767),tensor(0.5599),0.5804175257561448,0.33565901883696186,0.5249787406789398
