,BLEU,chrF,TER,BERTScore,WER,CER,ROUGE-1,ROUGE-2,ROUGE-L
gemma2-9b-it (Google),19.04286632136277,60.40943073435984,123.04199772985245,0.5028670430183411,1.2900114059448242,0.9660637378692627,0.54430748357514,0.35035220673541706,0.48110893676237027
gemma-7b-it (Google),19.64618926267764,54.64926762565664,78.49035187287173,0.5928937196731567,0.8518728613853455,0.620970606803894,0.5685328753209445,0.3037280956284016,0.47854524775543206
llama3-groq-70b-8192-tool-use-preview (Groq),32.64467407699041,65.80530585024002,56.072644721906926,0.7175612449645996,0.6486946940422058,0.4642729163169861,0.7108979319162003,0.4638038015204237,0.615704513718138
llama3-groq-8b-8192-tool-use-preview (Groq),22.501088312278743,59.748951142820474,77.41203178206584,0.5840286016464233,0.8535754680633545,0.6128223538398743,0.6288269241592829,0.3750960545727225,0.5240696954855588
llama-3.1-70b-versatile (Meta),40.706086497794956,70.51737586061438,47.16231555051078,0.7708465456962585,0.5544835329055786,0.39075931906700134,0.7602290338687279,0.5259849244689865,0.6724749975384385
llama-3.1-8b-instant (Meta),24.18865239703851,61.47387227135284,86.32236095346198,0.6426527500152588,0.9443813562393188,0.7279728055000305,0.6489334335021892,0.4079998540631523,0.5592149651825715
mixtral-8x7b-32768 (Mistral),19.222993718221364,56.89362245618618,92.11123723041997,0.6169776320457458,1.0079455375671387,0.7769520282745361,0.6173468562233001,0.3602844868323663,0.5175472995345433
llama-3.2-90b-vision-preview (Meta),39.87816456421073,69.96782901315842,48.01362088535755,0.768129289150238,0.560158908367157,0.39434096217155457,0.7572745216348666,0.5224116584363293,0.6686337744464891
