,BLEU,chrF,TER,BERTScore,WER,CER,ROUGE-1,ROUGE-2,ROUGE-L
gemma2-9b-it (Google) - Prompt 1,3.50060873113247,37.61109714779864,278.3766233766234,0.13206490874290466,tensor(2.8019),tensor(2.1147),0.27262229378568714,0.12240511365814884,0.24304798907466205
gemma-7b-it (Google) - Prompt 1,6.008766201351662,37.349312540226215,92.98701298701299,0.1406867653131485,tensor(0.9513),tensor(0.6692),0.29304897589702816,0.10375730482760359,0.254781141498651
llama3-groq-70b-8192-tool-use-preview (Groq) - Prompt 1,9.226393580157682,45.51755721659674,90.9090909090909,0.2740504741668701,tensor(0.9299),tensor(0.6290),0.4076381151707673,0.16845138625225942,0.353105546887811
llama3-groq-8b-8192-tool-use-preview (Groq) - Prompt 1,5.46409443927122,35.37496547124132,103.76623376623377,0.09549050033092499,tensor(1.0526),tensor(0.7017),0.27168220559052336,0.08719384669575395,0.24078002989897299
llama-3.1-70b-versatile (Meta) - Prompt 1,8.23460233340013,45.14407708926302,108.24675324675326,0.27180609107017517,tensor(1.1052),tensor(0.7833),0.39574040872380734,0.16122532279667354,0.34713915259079164
llama-3.1-8b-instant (Meta) - Prompt 1,1.2784000137314813,28.704193517110028,402.987012987013,0.08508790284395218,tensor(4.0468),tensor(3.2932),0.2508870059256636,0.08420536004892722,0.2085499514568543
mixtral-8x7b-32768 (Mistral) - Prompt 1,1.3123284075711754,29.003649916701065,250.1948051948052,0.06514356285333633,tensor(2.5182),tensor(1.8913),0.1981896842402201,0.053825821672192714,0.17275044300743037
llama-3.2-90b-vision-preview (Meta) - Prompt 1,8.096158689089798,45.05825385328696,111.76084099868592,0.2658687233924866,tensor(1.1353),tensor(0.8062),0.3957723277359918,0.15901121521915743,0.34856905071810473
