,BLEU,chrF,TER,BERTScore,WER,CER,ROUGE-1,ROUGE-2,ROUGE-L
gemma2-9b-it (Google),18.864583057124854,54.446201466162194,129.15921288014312,0.48324716091156006,1.3303518295288086,1.0403592586517334,0.4760934211818906,0.29274706192197536,0.4351393049322753
gemma-7b-it (Google),22.303613028905446,50.26017768343234,72.35079171741778,0.6119874119758606,0.7600487470626831,0.5830526351928711,0.5548963919886323,0.3006930266389188,0.5013675472133239
llama3-groq-70b-8192-tool-use-preview (Groq),29.83069838809582,58.68969396199759,59.98807394156231,0.714866042137146,0.644603431224823,0.4757431745529175,0.6759381833020736,0.41930019700592125,0.6210477712583176
llama3-groq-8b-8192-tool-use-preview (Groq),24.328708960870266,55.02858124177139,78.11568276684557,0.5720096230506897,0.8240906596183777,0.6319157481193542,0.5858813822310904,0.34537081948399423,0.5310178606635872
llama-3.1-70b-versatile (Meta),35.424195423354256,61.08130091726844,51.878354203935594,0.7530108094215393,0.5563506484031677,0.4072047770023346,0.7043687896798789,0.4668747090972731,0.6544147083437231
llama-3.1-8b-instant (Meta),24.1579275563837,55.980941776230644,83.42277877161598,0.6373959183692932,0.8741800785064697,0.7168662548065186,0.6174959581575145,0.3884338539622163,0.5667961090883896
mixtral-8x7b-32768 (Mistral),16.896147135752795,50.786708592589335,126.83363148479427,0.5807287693023682,1.2975552082061768,1.1315028667449951,0.5425176720140007,0.321884505378038,0.5008928861067575
llama-3.2-90b-vision-preview (Meta),35.17188472347836,60.98502656527999,52.05724508050089,0.7517837285995483,0.5617173314094543,0.4088563024997711,0.7017700485377999,0.4670343349066083,0.6530152020661756
