,BLEU,chrF,TER,BERTScore,WER,CER,ROUGE-1,ROUGE-2,ROUGE-L
gemma2-9b-it (Google),22.69207732437896,54.28438765576566,109.49968334388853,0.5521660447120667,1.1291956901550293,0.9958803057670593,0.5350084772819166,0.36018637507249984,0.5049676714940741
gemma-7b-it (Google),14.305918696268153,39.53581028023263,91.32686084142395,0.454517126083374,0.9365695714950562,0.7787392139434814,0.40755871301315855,0.19085548997793916,0.37003469832608904
llama3-groq-70b-8192-tool-use-preview (Groq),31.177287475994053,55.38267007350798,56.45342312008979,0.7388077974319458,0.604938268661499,0.4668372869491577,0.6501552651319626,0.4078771854224081,0.6085430945213386
llama3-groq-8b-8192-tool-use-preview (Groq),20.639135998827616,48.17882264128247,89.29702343255225,0.5282260775566101,0.9252691864967346,0.7951048016548157,0.5187381891227418,0.2917601493102323,0.47987498844560883
llama-3.1-70b-versatile (Meta),33.63795941301701,58.03214428823609,56.744775174160864,0.7382314205169678,0.5927802324295044,0.47291892766952515,0.6602765486806199,0.428975191354779,0.6292132227752318
llama-3.1-8b-instant (Meta),20.354679638051877,50.74653701797243,105.38315389487016,0.6175325512886047,1.0899302959442139,1.0110262632369995,0.5643524619805601,0.351723085344257,0.532122399865691
mixtral-8x7b-32768 (Mistral),8.271409592228984,37.08584423902928,200.18999366687774,0.4224868714809418,2.0278656482696533,2.0975403785705566,0.41815342212046425,0.22568814806774473,0.3897526182718655
llama-3.2-90b-vision-preview (Meta),33.04219599037101,57.815897270207664,59.02469917669411,0.7361660599708557,0.614946186542511,0.5029686093330383,0.6573912159310544,0.43425688620632386,0.6254297607713384
