,BLEU,chrF,TER,BERTScore,WER,CER,ROUGE-1,ROUGE-2,ROUGE-L
gemma2-9b-it (Google),13.097651631764268,48.151531474574014,140.7942238267148,0.25176066160202026,1.430505394935608,1.05376136302948,0.3694312692893566,0.21449192035797704,0.33966480508701613
gemma-7b-it (Google),19.47691747472987,46.888114764390096,74.79376718606783,0.3557104468345642,0.7740604877471924,0.5638810396194458,0.47030256949288657,0.26192581170850165,0.43278831201794765
llama3-groq-70b-8192-tool-use-preview (Groq),24.49188189728083,51.86517274273049,72.6985559566787,0.3997751474380493,0.755415141582489,0.5527886152267456,0.5039298624322018,0.2974377155038584,0.4669403060399152
llama3-groq-8b-8192-tool-use-preview (Groq),18.351433055291928,45.56803277353599,79.2418772563177,0.2999688386917114,0.8158844709396362,0.5810635685920715,0.4031188437401174,0.2198484961855403,0.37314193975255816
llama-3.1-70b-versatile (Meta),26.481723054206846,53.80553241158946,70.84837545126354,0.43783190846443176,0.7346570491790771,0.5289883017539978,0.5286509936174212,0.3267519715035694,0.49071960108611307
llama-3.1-8b-instant (Meta),9.796025647702011,45.25556075160378,198.19494584837545,0.17616811394691467,2.011732816696167,1.748443603515625,0.3278979957556649,0.18362098647897876,0.29001623724455705
mixtral-8x7b-32768 (Mistral),12.290104159378403,45.70250651501013,144.13357400722023,0.2813625633716583,1.4648014307022095,1.1645265817642212,0.4095257789666005,0.23563470204150938,0.3788612928102353
llama-3.2-90b-vision-preview (Meta),27.067885249570768,53.86867459665804,70.26173285198556,0.44620367884635925,0.7287906408309937,0.5302853584289551,0.5396454552202027,0.34134057356698316,0.5055387339714078
