,BLEU,chrF,TER,BERTScore,WER,CER,ROUGE-1,ROUGE-2,ROUGE-L
gemma2-9b-it (Google),23.335427670454145,60.197077330847684,116.33858267716535,0.5174615383148193,1.2199803590774536,0.9651162624359131,0.5463099570310275,0.3691695679888536,0.4940962873784119
gemma-7b-it (Google),33.2955427305861,58.13738694943502,55.663430420711975,0.6820964813232422,0.592772364616394,0.44508618116378784,0.6557786163191469,0.41270780063706225,0.5991092101364223
llama3-groq-70b-8192-tool-use-preview (Groq),40.567969829192464,64.91251557992632,48.27755905511811,0.7604402303695679,0.5201771855354309,0.3856862187385559,0.7239427710082649,0.49808862825685035,0.6689720826499851
llama3-groq-8b-8192-tool-use-preview (Groq),35.308181675215806,62.38125546508848,53.14960629921261,0.7063432335853577,0.5698819160461426,0.418850302696228,0.6968873585883232,0.4664632912849204,0.6425327042247099
llama-3.1-70b-versatile (Meta),43.68501959463662,66.99182722822331,43.553149606299215,0.7766562700271606,0.47933071851730347,0.34466099739074707,0.7474183421398157,0.5224659447099981,0.6912519826922946
llama-3.1-8b-instant (Meta),25.424656407347292,59.891414366656406,99.85236220472441,0.6192554235458374,1.0447834730148315,0.90632164478302,0.6341226303990858,0.43715667534120345,0.5875627554606699
mixtral-8x7b-32768 (Mistral),31.41902633916293,62.08323250751274,69.58661417322834,0.7046739459037781,0.7396653294563293,0.5973632335662842,0.6708235377010722,0.4555983215967247,0.6207391826548213
llama-3.2-90b-vision-preview (Meta),44.07251411562775,67.1522468841622,42.47047244094488,0.7810871601104736,0.4645669162273407,0.3302489221096039,0.7502090298160976,0.530588865812606,0.6972687179502222
